Jar,Species,Day,Treatment,Replicate,Community,Community.Complexity,td
1,P.caudatum,0,15,1,P.caudatum,1,100
2,P.caudatum,0,15,2,P.caudatum,1,100
3,P.caudatum,0,15,3,P.caudatum,1,100
4,P.caudatum,0,15,4,P.caudatum,1,100
5,P.caudatum,0,15,5,P.caudatum,1,100
6,P.caudatum,0,20,1,P.caudatum,1,100
7,P.caudatum,0,20,2,P.caudatum,1,100
8,P.caudatum,0,20,3,P.caudatum,1,100
9,P.caudatum,0,20,4,P.caudatum,1,100
10,P.caudatum,0,20,5,P.caudatum,1,100
11,Loxocephallus,0,15,1,Loxocephalus,1,100
12,Loxocephallus,0,15,2,Loxocephalus,1,100
13,Loxocephallus,0,15,3,Loxocephalus,1,100
14,Loxocephallus,0,15,4,Loxocephalus,1,100
15,Loxocephallus,0,15,5,Loxocephalus,1,100
16,Loxocephallus,0,20,1,Loxocephalus,1,100
17,Loxocephallus,0,20,2,Loxocephalus,1,100
18,Loxocephallus,0,20,3,Loxocephalus,1,100
19,Loxocephallus,0,20,4,Loxocephalus,1,100
20,Loxocephallus,0,20,5,Loxocephalus,1,100
21,Colpidium,0,15,1,Colpidium,1,100
22,Colpidium,0,15,2,Colpidium,1,100
23,Colpidium,0,15,3,Colpidium,1,100
24,Colpidium,0,15,4,Colpidium,1,100
25,Colpidium,0,15,5,Colpidium,1,100
26,Colpidium,0,20,1,Colpidium,1,100
27,Colpidium,0,20,2,Colpidium,1,100
28,Colpidium,0,20,3,Colpidium,1,100
29,Colpidium,0,20,4,Colpidium,1,100
30,Colpidium,0,20,5,Colpidium,1,100
31,Blepharisma,0,15,1,Blepharisma,1,100
32,Blepharisma,0,15,2,Blepharisma,1,100
33,Blepharisma,0,15,3,Blepharisma,1,100
34,Blepharisma,0,15,4,Blepharisma,1,100
35,Blepharisma,0,15,5,Blepharisma,1,100
36,Blepharisma,0,20,1,Blepharisma,1,100
37,Blepharisma,0,20,2,Blepharisma,1,100
38,Blepharisma,0,20,3,Blepharisma,1,100
39,Blepharisma,0,20,4,Blepharisma,1,100
40,Blepharisma,0,20,5,Blepharisma,1,100
41,Loxocephallus,0,15,1,Paramecium caudatum + Loxocephalus,2,100
41,P.caudatum,0,15,1,Paramecium caudatum + Loxocephalus,2,100
42,Loxocephallus,0,15,2,Paramecium caudatum + Loxocephalus,2,100
42,P.caudatum,0,15,2,Paramecium caudatum + Loxocephalus,2,100
43,Loxocephallus,0,15,3,Paramecium caudatum + Loxocephalus,2,100
43,P.caudatum,0,15,3,Paramecium caudatum + Loxocephalus,2,100
44,Loxocephallus,0,15,4,Paramecium caudatum + Loxocephalus,2,100
44,P.caudatum,0,15,4,Paramecium caudatum + Loxocephalus,2,100
45,Loxocephallus,0,15,5,Paramecium caudatum + Loxocephalus,2,100
45,P.caudatum,0,15,5,Paramecium caudatum + Loxocephalus,2,100
46,Loxocephallus,0,20,1,Paramecium caudatum + Loxocephalus,2,100
46,P.caudatum,0,20,1,Paramecium caudatum + Loxocephalus,2,100
47,Loxocephallus,0,20,2,Paramecium caudatum + Loxocephalus,2,100
47,P.caudatum,0,20,2,Paramecium caudatum + Loxocephalus,2,100
48,Loxocephallus,0,20,3,Paramecium caudatum + Loxocephalus,2,100
48,P.caudatum,0,20,3,Paramecium caudatum + Loxocephalus,2,100
49,Loxocephallus,0,20,4,Paramecium caudatum + Loxocephalus,2,100
49,P.caudatum,0,20,4,Paramecium caudatum + Loxocephalus,2,100
50,Loxocephallus,0,20,5,Paramecium caudatum + Loxocephalus,2,100
50,P.caudatum,0,20,5,Paramecium caudatum + Loxocephalus,2,100
51,Blepharisma,0,15,1,Paramecium caudatum + Blepharisma,2,100
51,P.caudatum,0,15,1,Paramecium caudatum + Blepharisma,2,100
52,Blepharisma,0,15,2,Paramecium caudatum + Blepharisma,2,100
52,P.caudatum,0,15,2,Paramecium caudatum + Blepharisma,2,100
53,Blepharisma,0,15,3,Paramecium caudatum + Blepharisma,2,100
53,P.caudatum,0,15,3,Paramecium caudatum + Blepharisma,2,100
54,Blepharisma,0,15,4,Paramecium caudatum + Blepharisma,2,100
54,P.caudatum,0,15,4,Paramecium caudatum + Blepharisma,2,100
55,Blepharisma,0,15,5,Paramecium caudatum + Blepharisma,2,100
55,P.caudatum,0,15,5,Paramecium caudatum + Blepharisma,2,100
56,Blepharisma,0,20,1,Paramecium caudatum + Blepharisma,2,100
56,P.caudatum,0,20,1,Paramecium caudatum + Blepharisma,2,100
57,Blepharisma,0,20,2,Paramecium caudatum + Blepharisma,2,100
57,P.caudatum,0,20,2,Paramecium caudatum + Blepharisma,2,100
58,Blepharisma,0,20,3,Paramecium caudatum + Blepharisma,2,100
58,P.caudatum,0,20,3,Paramecium caudatum + Blepharisma,2,100
59,Blepharisma,0,20,4,Paramecium caudatum + Blepharisma,2,100
59,P.caudatum,0,20,4,Paramecium caudatum + Blepharisma,2,100
60,Blepharisma,0,20,5,Paramecium caudatum + Blepharisma,2,100
60,P.caudatum,0,20,5,Paramecium caudatum + Blepharisma,2,100
61,Colpidium,0,15,1,Paramecium caudatum + Colpidium,2,100
61,P.caudatum,0,15,1,Paramecium caudatum + Colpidium,2,100
62,Colpidium,0,15,2,Paramecium caudatum + Colpidium,2,100
62,P.caudatum,0,15,2,Paramecium caudatum + Colpidium,2,100
63,Colpidium,0,15,3,Paramecium caudatum + Colpidium,2,100
63,P.caudatum,0,15,3,Paramecium caudatum + Colpidium,2,100
64,Colpidium,0,15,4,Paramecium caudatum + Colpidium,2,100
64,P.caudatum,0,15,4,Paramecium caudatum + Colpidium,2,100
65,Colpidium,0,15,5,Paramecium caudatum + Colpidium,2,100
65,P.caudatum,0,15,5,Paramecium caudatum + Colpidium,2,100
66,Colpidium,0,20,1,Paramecium caudatum + Colpidium,2,100
66,P.caudatum,0,20,1,Paramecium caudatum + Colpidium,2,100
67,Colpidium,0,20,2,Paramecium caudatum + Colpidium,2,100
67,P.caudatum,0,20,2,Paramecium caudatum + Colpidium,2,100
68,Colpidium,0,20,3,Paramecium caudatum + Colpidium,2,100
68,P.caudatum,0,20,3,Paramecium caudatum + Colpidium,2,100
69,Colpidium,0,20,4,Paramecium caudatum + Colpidium,2,100
69,P.caudatum,0,20,4,Paramecium caudatum + Colpidium,2,100
70,Colpidium,0,20,5,Paramecium caudatum + Colpidium,2,100
70,P.caudatum,0,20,5,Paramecium caudatum + Colpidium,2,100
71,Blepharisma,0,15,1,Loxocephalus + Blepharisma,2,100
71,Loxocephallus,0,15,1,Loxocephalus + Blepharisma,2,100
72,Blepharisma,0,15,2,Loxocephalus + Blepharisma,2,100
72,Loxocephallus,0,15,2,Loxocephalus + Blepharisma,2,100
73,Blepharisma,0,15,3,Loxocephalus + Blepharisma,2,100
73,Loxocephallus,0,15,3,Loxocephalus + Blepharisma,2,100
74,Blepharisma,0,15,4,Loxocephalus + Blepharisma,2,100
74,Loxocephallus,0,15,4,Loxocephalus + Blepharisma,2,100
75,Blepharisma,0,15,5,Loxocephalus + Blepharisma,2,100
75,Loxocephallus,0,15,5,Loxocephalus + Blepharisma,2,100
76,Blepharisma,0,20,1,Loxocephalus + Blepharisma,2,100
76,Loxocephallus,0,20,1,Loxocephalus + Blepharisma,2,100
77,Blepharisma,0,20,2,Loxocephalus + Blepharisma,2,100
77,Loxocephallus,0,20,2,Loxocephalus + Blepharisma,2,100
78,Blepharisma,0,20,3,Loxocephalus + Blepharisma,2,100
78,Loxocephallus,0,20,3,Loxocephalus + Blepharisma,2,100
79,Blepharisma,0,20,4,Loxocephalus + Blepharisma,2,100
79,Loxocephallus,0,20,4,Loxocephalus + Blepharisma,2,100
80,Blepharisma,0,20,5,Loxocephalus + Blepharisma,2,100
80,Loxocephallus,0,20,5,Loxocephalus + Blepharisma,2,100
81,Colpidium,0,15,1,Loxocephalus + Colpidium,2,100
81,Loxocephallus,0,15,1,Loxocephalus + Colpidium,2,100
82,Colpidium,0,15,2,Loxocephalus + Colpidium,2,100
82,Loxocephallus,0,15,2,Loxocephalus + Colpidium,2,100
83,Colpidium,0,15,3,Loxocephalus + Colpidium,2,100
83,Loxocephallus,0,15,3,Loxocephalus + Colpidium,2,100
84,Colpidium,0,15,4,Loxocephalus + Colpidium,2,100
84,Loxocephallus,0,15,4,Loxocephalus + Colpidium,2,100
85,Colpidium,0,15,5,Loxocephalus + Colpidium,2,100
85,Loxocephallus,0,15,5,Loxocephalus + Colpidium,2,100
86,Colpidium,0,20,1,Loxocephalus + Colpidium,2,100
86,Loxocephallus,0,20,1,Loxocephalus + Colpidium,2,100
87,Colpidium,0,20,2,Loxocephalus + Colpidium,2,100
87,Loxocephallus,0,20,2,Loxocephalus + Colpidium,2,100
88,Colpidium,0,20,3,Loxocephalus + Colpidium,2,100
88,Loxocephallus,0,20,3,Loxocephalus + Colpidium,2,100
89,Colpidium,0,20,4,Loxocephalus + Colpidium,2,100
89,Loxocephallus,0,20,4,Loxocephalus + Colpidium,2,100
90,Colpidium,0,20,5,Loxocephalus + Colpidium,2,100
90,Loxocephallus,0,20,5,Loxocephalus + Colpidium,2,100
91,Blepharisma,0,15,1,Blepharisma + Colpidium,2,100
91,Colpidium,0,15,1,Blepharisma + Colpidium,2,100
92,Blepharisma,0,15,2,Blepharisma + Colpidium,2,100
92,Colpidium,0,15,2,Blepharisma + Colpidium,2,100
93,Blepharisma,0,15,3,Blepharisma + Colpidium,2,100
93,Colpidium,0,15,3,Blepharisma + Colpidium,2,100
94,Blepharisma,0,15,4,Blepharisma + Colpidium,2,100
94,Colpidium,0,15,4,Blepharisma + Colpidium,2,100
95,Blepharisma,0,15,5,Blepharisma + Colpidium,2,100
95,Colpidium,0,15,5,Blepharisma + Colpidium,2,100
96,Blepharisma,0,20,1,Blepharisma + Colpidium,2,100
96,Colpidium,0,20,1,Blepharisma + Colpidium,2,100
97,Blepharisma,0,20,2,Blepharisma + Colpidium,2,100
97,Colpidium,0,20,2,Blepharisma + Colpidium,2,100
98,Blepharisma,0,20,3,Blepharisma + Colpidium,2,100
98,Colpidium,0,20,3,Blepharisma + Colpidium,2,100
99,Blepharisma,0,20,4,Blepharisma + Colpidium,2,100
99,Colpidium,0,20,4,Blepharisma + Colpidium,2,100
100,Blepharisma,0,20,5,Blepharisma + Colpidium,2,100
100,Colpidium,0,20,5,Blepharisma + Colpidium,2,100
101,Blepharisma,0,15,1,P.caudatum + Loxocephalus + Blepharisma,3,100
101,Loxocephallus,0,15,1,P.caudatum + Loxocephalus + Blepharisma,3,100
101,P.caudatum,0,15,1,P.caudatum + Loxocephalus + Blepharisma,3,100
102,Blepharisma,0,15,2,P.caudatum + Loxocephalus + Blepharisma,3,100
102,Loxocephallus,0,15,2,P.caudatum + Loxocephalus + Blepharisma,3,100
102,P.caudatum,0,15,2,P.caudatum + Loxocephalus + Blepharisma,3,100
103,Blepharisma,0,15,3,P.caudatum + Loxocephalus + Blepharisma,3,100
103,Loxocephallus,0,15,3,P.caudatum + Loxocephalus + Blepharisma,3,100
103,P.caudatum,0,15,3,P.caudatum + Loxocephalus + Blepharisma,3,100
104,Blepharisma,0,15,4,P.caudatum + Loxocephalus + Blepharisma,3,100
104,Loxocephallus,0,15,4,P.caudatum + Loxocephalus + Blepharisma,3,100
104,P.caudatum,0,15,4,P.caudatum + Loxocephalus + Blepharisma,3,100
105,Blepharisma,0,15,5,P.caudatum + Loxocephalus + Blepharisma,3,100
105,Loxocephallus,0,15,5,P.caudatum + Loxocephalus + Blepharisma,3,100
105,P.caudatum,0,15,5,P.caudatum + Loxocephalus + Blepharisma,3,100
106,Blepharisma,0,20,1,P.caudatum + Loxocephalus + Blepharisma,3,100
106,Loxocephallus,0,20,1,P.caudatum + Loxocephalus + Blepharisma,3,100
106,P.caudatum,0,20,1,P.caudatum + Loxocephalus + Blepharisma,3,100
107,Blepharisma,0,20,2,P.caudatum + Loxocephalus + Blepharisma,3,100
107,Loxocephallus,0,20,2,P.caudatum + Loxocephalus + Blepharisma,3,100
107,P.caudatum,0,20,2,P.caudatum + Loxocephalus + Blepharisma,3,100
108,Blepharisma,0,20,3,P.caudatum + Loxocephalus + Blepharisma,3,100
108,Loxocephallus,0,20,3,P.caudatum + Loxocephalus + Blepharisma,3,100
108,P.caudatum,0,20,3,P.caudatum + Loxocephalus + Blepharisma,3,100
109,Blepharisma,0,20,4,P.caudatum + Loxocephalus + Blepharisma,3,100
109,Loxocephallus,0,20,4,P.caudatum + Loxocephalus + Blepharisma,3,100
109,P.caudatum,0,20,4,P.caudatum + Loxocephalus + Blepharisma,3,100
110,Blepharisma,0,20,5,P.caudatum + Loxocephalus + Blepharisma,3,100
110,Loxocephallus,0,20,5,P.caudatum + Loxocephalus + Blepharisma,3,100
110,P.caudatum,0,20,5,P.caudatum + Loxocephalus + Blepharisma,3,100
111,Colpidium,0,15,1,P.caudatum + Loxocephalus + Colpidium,3,100
111,Loxocephallus,0,15,1,P.caudatum + Loxocephalus + Colpidium,3,100
111,P.caudatum,0,15,1,P.caudatum + Loxocephalus + Colpidium,3,100
112,Colpidium,0,15,2,P.caudatum + Loxocephalus + Colpidium,3,100
112,Loxocephallus,0,15,2,P.caudatum + Loxocephalus + Colpidium,3,100
112,P.caudatum,0,15,2,P.caudatum + Loxocephalus + Colpidium,3,100
113,Colpidium,0,15,3,P.caudatum + Loxocephalus + Colpidium,3,100
113,Loxocephallus,0,15,3,P.caudatum + Loxocephalus + Colpidium,3,100
113,P.caudatum,0,15,3,P.caudatum + Loxocephalus + Colpidium,3,100
114,Colpidium,0,15,4,P.caudatum + Loxocephalus + Colpidium,3,100
114,Loxocephallus,0,15,4,P.caudatum + Loxocephalus + Colpidium,3,100
114,P.caudatum,0,15,4,P.caudatum + Loxocephalus + Colpidium,3,100
115,Colpidium,0,15,5,P.caudatum + Loxocephalus + Colpidium,3,100
115,Loxocephallus,0,15,5,P.caudatum + Loxocephalus + Colpidium,3,100
115,P.caudatum,0,15,5,P.caudatum + Loxocephalus + Colpidium,3,100
116,Colpidium,0,20,1,P.caudatum + Loxocephalus + Colpidium,3,100
116,Loxocephallus,0,20,1,P.caudatum + Loxocephalus + Colpidium,3,100
116,P.caudatum,0,20,1,P.caudatum + Loxocephalus + Colpidium,3,100
117,Colpidium,0,20,2,P.caudatum + Loxocephalus + Colpidium,3,100
117,Loxocephallus,0,20,2,P.caudatum + Loxocephalus + Colpidium,3,100
117,P.caudatum,0,20,2,P.caudatum + Loxocephalus + Colpidium,3,100
118,Colpidium,0,20,3,P.caudatum + Loxocephalus + Colpidium,3,100
118,Loxocephallus,0,20,3,P.caudatum + Loxocephalus + Colpidium,3,100
118,P.caudatum,0,20,3,P.caudatum + Loxocephalus + Colpidium,3,100
119,Colpidium,0,20,4,P.caudatum + Loxocephalus + Colpidium,3,100
119,Loxocephallus,0,20,4,P.caudatum + Loxocephalus + Colpidium,3,100
119,P.caudatum,0,20,4,P.caudatum + Loxocephalus + Colpidium,3,100
120,Colpidium,0,20,5,P.caudatum + Loxocephalus + Colpidium,3,100
120,Loxocephallus,0,20,5,P.caudatum + Loxocephalus + Colpidium,3,100
120,P.caudatum,0,20,5,P.caudatum + Loxocephalus + Colpidium,3,100
121,Blepharisma,0,15,1,P.caudatum + Blepharisma + Colpidium,3,100
121,Colpidium,0,15,1,P.caudatum + Blepharisma + Colpidium,3,100
121,P.caudatum,0,15,1,P.caudatum + Blepharisma + Colpidium,3,100
122,Blepharisma,0,15,2,P.caudatum + Blepharisma + Colpidium,3,100
122,Colpidium,0,15,2,P.caudatum + Blepharisma + Colpidium,3,100
122,P.caudatum,0,15,2,P.caudatum + Blepharisma + Colpidium,3,100
123,Blepharisma,0,15,3,P.caudatum + Blepharisma + Colpidium,3,100
123,Colpidium,0,15,3,P.caudatum + Blepharisma + Colpidium,3,100
123,P.caudatum,0,15,3,P.caudatum + Blepharisma + Colpidium,3,100
124,Blepharisma,0,15,4,P.caudatum + Blepharisma + Colpidium,3,100
124,Colpidium,0,15,4,P.caudatum + Blepharisma + Colpidium,3,100
124,P.caudatum,0,15,4,P.caudatum + Blepharisma + Colpidium,3,100
125,Blepharisma,0,15,5,P.caudatum + Blepharisma + Colpidium,3,100
125,Colpidium,0,15,5,P.caudatum + Blepharisma + Colpidium,3,100
125,P.caudatum,0,15,5,P.caudatum + Blepharisma + Colpidium,3,100
126,Blepharisma,0,20,1,P.caudatum + Blepharisma + Colpidium,3,100
126,Colpidium,0,20,1,P.caudatum + Blepharisma + Colpidium,3,100
126,P.caudatum,0,20,1,P.caudatum + Blepharisma + Colpidium,3,100
127,Blepharisma,0,20,2,P.caudatum + Blepharisma + Colpidium,3,100
127,Colpidium,0,20,2,P.caudatum + Blepharisma + Colpidium,3,100
127,P.caudatum,0,20,2,P.caudatum + Blepharisma + Colpidium,3,100
128,Blepharisma,0,20,3,P.caudatum + Blepharisma + Colpidium,3,100
128,Colpidium,0,20,3,P.caudatum + Blepharisma + Colpidium,3,100
128,P.caudatum,0,20,3,P.caudatum + Blepharisma + Colpidium,3,100
129,Blepharisma,0,20,4,P.caudatum + Blepharisma + Colpidium,3,100
129,Colpidium,0,20,4,P.caudatum + Blepharisma + Colpidium,3,100
129,P.caudatum,0,20,4,P.caudatum + Blepharisma + Colpidium,3,100
130,Blepharisma,0,20,5,P.caudatum + Blepharisma + Colpidium,3,100
