Jar,Species,Treatment,Day,Replicate,Sample.Day,Community,Species.Richness,Abundance
1,P.caudatum,S,0,1,1,P.caudatum,1,3099
2,P.caudatum,S,0,2,1,P.caudatum,1,3099
3,P.caudatum,S,0,3,1,P.caudatum,1,3099
4,Loxocephallus,S,0,1,1,Loxocephallus,1,99
5,Loxocephallus,S,0,2,1,Loxocephallus,1,99
6,Loxocephallus,S,0,3,1,Loxocephallus,1,99
7,Blepharisma,S,0,1,1,Blepharisma,1,309
8,Blepharisma,S,0,2,1,Blepharisma,1,309
9,Blepharisma,S,0,3,1,Blepharisma,1,309
10,Loxocephallus,S,0,1,1,P.caudatum+Loxocephallus,2,49.5
10,P.caudatum,S,0,1,1,P.caudatum+Loxocephallus,2,1549.5
11,Loxocephallus,S,0,2,1,P.caudatum+Loxocephallus,2,49.5
11,P.caudatum,S,0,2,1,P.caudatum+Loxocephallus,2,1549.5
12,Loxocephallus,S,0,3,1,P.caudatum+Loxocephallus,2,49.5
12,P.caudatum,S,0,3,1,P.caudatum+Loxocephallus,2,1549.5
13,Blepharisma,S,0,1,1,P.caudatum+Blepharisma,2,154.5
13,P.caudatum,S,0,1,1,P.caudatum+Blepharisma,2,1549.5
14,Blepharisma,S,0,2,1,P.caudatum+Blepharisma,2,154.5
14,P.caudatum,S,0,2,1,P.caudatum+Blepharisma,2,1549.5
15,Blepharisma,S,0,3,1,P.caudatum+Blepharisma,2,154.5
15,P.caudatum,S,0,3,1,P.caudatum+Blepharisma,2,1549.5
16,Blepharisma,S,0,1,1,Blepharisma+Loxocephallus,2,154.5
16,Loxocephallus,S,0,1,1,Blepharisma+Loxocephallus,2,49.5
17,Blepharisma,S,0,2,1,Blepharisma+Loxocephallus,2,154.5
17,Loxocephallus,S,0,2,1,Blepharisma+Loxocephallus,2,49.5
18,Blepharisma,S,0,3,1,Blepharisma+Loxocephallus,2,154.5
18,Loxocephallus,S,0,3,1,Blepharisma+Loxocephallus,2,49.5
19,Blepharisma,S,0,1,1,P.caudatum+Loxocephallus+Blepharisma,3,103
19,Loxocephallus,S,0,1,1,P.caudatum+Loxocephallus+Blepharisma,3,33
19,P.caudatum,S,0,1,1,P.caudatum+Loxocephallus+Blepharisma,3,1033
20,Blepharisma,S,0,2,1,P.caudatum+Loxocephallus+Blepharisma,3,103
20,Loxocephallus,S,0,2,1,P.caudatum+Loxocephallus+Blepharisma,3,33
20,P.caudatum,S,0,2,1,P.caudatum+Loxocephallus+Blepharisma,3,1033
21,Blepharisma,S,0,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
21,Loxocephallus,S,0,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
21,P.caudatum,S,0,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
22,P.caudatum,U3,0,1,1,P.caudatum,1,3099
23,P.caudatum,U3,0,2,1,P.caudatum,1,3099
24,P.caudatum,U3,0,3,1,P.caudatum,1,3099
25,Loxocephallus,U3,0,1,1,Loxocephallus,1,NA
26,Loxocephallus,U3,0,2,1,Loxocephallus,1,99
27,Loxocephallus,U3,0,3,1,Loxocephallus,1,99
28,Blepharisma,U3,0,1,1,Blepharisma,1,309
29,Blepharisma,U3,0,2,1,Blepharisma,1,309
30,Blepharisma,U3,0,3,1,Blepharisma,1,309
31,Loxocephallus,U3,0,1,1,P.caudatum+Loxocephallus,2,49.5
31,P.caudatum,U3,0,1,1,P.caudatum+Loxocephallus,2,1549.5
32,Loxocephallus,U3,0,2,1,P.caudatum+Loxocephallus,2,49.5
32,P.caudatum,U3,0,2,1,P.caudatum+Loxocephallus,2,1549.5
33,Loxocephallus,U3,0,3,1,P.caudatum+Loxocephallus,2,49.5
33,P.caudatum,U3,0,3,1,P.caudatum+Loxocephallus,2,1549.5
34,Blepharisma,U3,0,1,1,P.caudatum+Blepharisma,2,154.5
34,P.caudatum,U3,0,1,1,P.caudatum+Blepharisma,2,1549.5
35,Blepharisma,U3,0,2,1,P.caudatum+Blepharisma,2,154.5
35,P.caudatum,U3,0,2,1,P.caudatum+Blepharisma,2,1549.5
36,Blepharisma,U3,0,3,1,P.caudatum+Blepharisma,2,154.5
36,P.caudatum,U3,0,3,1,P.caudatum+Blepharisma,2,1549.5
37,Blepharisma,U3,0,1,1,Blepharisma+Loxocephallus,2,154.5
37,Loxocephallus,U3,0,1,1,Blepharisma+Loxocephallus,2,49.5
38,Blepharisma,U3,0,2,1,Blepharisma+Loxocephallus,2,154.5
38,Loxocephallus,U3,0,2,1,Blepharisma+Loxocephallus,2,49.5
39,Blepharisma,U3,0,3,1,Blepharisma+Loxocephallus,2,NA
39,Loxocephallus,U3,0,3,1,Blepharisma+Loxocephallus,2,NA
40,Blepharisma,U3,0,1,1,P.caudatum+Loxocephallus+Blepharisma,3,103
40,Loxocephallus,U3,0,1,1,P.caudatum+Loxocephallus+Blepharisma,3,33
40,P.caudatum,U3,0,1,1,P.caudatum+Loxocephallus+Blepharisma,3,1033
41,Blepharisma,U3,0,2,1,P.caudatum+Loxocephallus+Blepharisma,3,103
41,Loxocephallus,U3,0,2,1,P.caudatum+Loxocephallus+Blepharisma,3,33
41,P.caudatum,U3,0,2,1,P.caudatum+Loxocephallus+Blepharisma,3,1033
42,Blepharisma,U3,0,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
42,Loxocephallus,U3,0,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
42,P.caudatum,U3,0,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
43,P.caudatum,U1.5,0,1,1,P.caudatum,1,3099
44,P.caudatum,U1.5,0,2,1,P.caudatum,1,3099
45,P.caudatum,U1.5,0,3,1,P.caudatum,1,3099
46,Loxocephallus,U1.5,0,1,1,Loxocephallus,1,99
47,Loxocephallus,U1.5,0,2,1,Loxocephallus,1,99
48,Loxocephallus,U1.5,0,3,1,Loxocephallus,1,99
49,Blepharisma,U1.5,0,1,1,Blepharisma,1,309
50,Blepharisma,U1.5,0,2,1,Blepharisma,1,309
51,Blepharisma,U1.5,0,3,1,Blepharisma,1,309
52,Loxocephallus,U1.5,0,1,1,P.caudatum+Loxocephallus,2,49.5
52,P.caudatum,U1.5,0,1,1,P.caudatum+Loxocephallus,2,1549.5
53,Loxocephallus,U1.5,0,2,1,P.caudatum+Loxocephallus,2,49.5
53,P.caudatum,U1.5,0,2,1,P.caudatum+Loxocephallus,2,1549.5
54,Loxocephallus,U1.5,0,3,1,P.caudatum+Loxocephallus,2,49.5
54,P.caudatum,U1.5,0,3,1,P.caudatum+Loxocephallus,2,1549.5
55,Blepharisma,U1.5,0,1,1,P.caudatum+Blepharisma,2,154.5
55,P.caudatum,U1.5,0,1,1,P.caudatum+Blepharisma,2,1549.5
56,Blepharisma,U1.5,0,2,1,P.caudatum+Blepharisma,2,154.5
56,P.caudatum,U1.5,0,2,1,P.caudatum+Blepharisma,2,1549.5
57,Blepharisma,U1.5,0,3,1,P.caudatum+Blepharisma,2,154.5
57,P.caudatum,U1.5,0,3,1,P.caudatum+Blepharisma,2,1549.5
58,Blepharisma,U1.5,0,1,1,Blepharisma+Loxocephallus,2,154.5
58,Loxocephallus,U1.5,0,1,1,Blepharisma+Loxocephallus,2,49.5
59,Blepharisma,U1.5,0,2,1,Blepharisma+Loxocephallus,2,154.5
59,Loxocephallus,U1.5,0,2,1,Blepharisma+Loxocephallus,2,49.5
60,Blepharisma,U1.5,0,3,1,Blepharisma+Loxocephallus,2,NA
60,Loxocephallus,U1.5,0,3,1,Blepharisma+Loxocephallus,2,NA
61,Blepharisma,U1.5,0,1,1,P.caudatum+Loxocephallus+Blepharisma,3,103
61,Loxocephallus,U1.5,0,1,1,P.caudatum+Loxocephallus+Blepharisma,3,33
61,P.caudatum,U1.5,0,1,1,P.caudatum+Loxocephallus+Blepharisma,3,1033
62,Blepharisma,U1.5,0,2,1,P.caudatum+Loxocephallus+Blepharisma,3,103
62,Loxocephallus,U1.5,0,2,1,P.caudatum+Loxocephallus+Blepharisma,3,33
62,P.caudatum,U1.5,0,2,1,P.caudatum+Loxocephallus+Blepharisma,3,1033
63,Blepharisma,U1.5,0,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
63,Loxocephallus,U1.5,0,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
63,P.caudatum,U1.5,0,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
64,P.caudatum,U0.75,0,1,1,P.caudatum,1,3099
65,P.caudatum,U0.75,0,2,1,P.caudatum,1,3099
66,P.caudatum,U0.75,0,3,1,P.caudatum,1,3099
67,Loxocephallus,U0.75,0,1,1,Loxocephallus,1,99
68,Loxocephallus,U0.75,0,2,1,Loxocephallus,1,NA
69,Loxocephallus,U0.75,0,3,1,Loxocephallus,1,99
70,Blepharisma,U0.75,0,1,1,Blepharisma,1,309
71,Blepharisma,U0.75,0,2,1,Blepharisma,1,309
72,Blepharisma,U0.75,0,3,1,Blepharisma,1,309
73,Loxocephallus,U0.75,0,1,1,P.caudatum+Loxocephallus,2,49.5
73,P.caudatum,U0.75,0,1,1,P.caudatum+Loxocephallus,2,1549.5
74,Loxocephallus,U0.75,0,2,1,P.caudatum+Loxocephallus,2,49.5
74,P.caudatum,U0.75,0,2,1,P.caudatum+Loxocephallus,2,1549.5
75,Loxocephallus,U0.75,0,3,1,P.caudatum+Loxocephallus,2,49.5
75,P.caudatum,U0.75,0,3,1,P.caudatum+Loxocephallus,2,1549.5
76,Blepharisma,U0.75,0,1,1,P.caudatum+Blepharisma,2,154.5
76,P.caudatum,U0.75,0,1,1,P.caudatum+Blepharisma,2,1549.5
77,Blepharisma,U0.75,0,2,1,P.caudatum+Blepharisma,2,154.5
77,P.caudatum,U0.75,0,2,1,P.caudatum+Blepharisma,2,1549.5
78,Blepharisma,U0.75,0,3,1,P.caudatum+Blepharisma,2,154.5
78,P.caudatum,U0.75,0,3,1,P.caudatum+Blepharisma,2,1549.5
79,Blepharisma,U0.75,0,1,1,Blepharisma+Loxocephallus,2,154.5
79,Loxocephallus,U0.75,0,1,1,Blepharisma+Loxocephallus,2,49.5
80,Blepharisma,U0.75,0,2,1,Blepharisma+Loxocephallus,2,154.5
80,Loxocephallus,U0.75,0,2,1,Blepharisma+Loxocephallus,2,49.5
81,Blepharisma,U0.75,0,3,1,Blepharisma+Loxocephallus,2,154.5
81,Loxocephallus,U0.75,0,3,1,Blepharisma+Loxocephallus,2,49.5
82,Blepharisma,U0.75,0,1,1,P.caudatum+Loxocephallus+Blepharisma,3,103
82,Loxocephallus,U0.75,0,1,1,P.caudatum+Loxocephallus+Blepharisma,3,33
82,P.caudatum,U0.75,0,1,1,P.caudatum+Loxocephallus+Blepharisma,3,1033
83,Blepharisma,U0.75,0,2,1,P.caudatum+Loxocephallus+Blepharisma,3,103
83,Loxocephallus,U0.75,0,2,1,P.caudatum+Loxocephallus+Blepharisma,3,33
83,P.caudatum,U0.75,0,2,1,P.caudatum+Loxocephallus+Blepharisma,3,1033
84,Blepharisma,U0.75,0,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
84,Loxocephallus,U0.75,0,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
84,P.caudatum,U0.75,0,3,1,P.caudatum+Loxocephallus+Blepharisma,3,NA
85,P.caudatum,U0.5,0,1,1,P.caudatum,1,3099
