Species,Temperature,Replicate,Time,Density
Blepharisma,35,1,0,0.002
Blepharisma,35,2,0,0.002
Blepharisma,35,3,0,0.002
Blepharisma,35,4,0,0.002
P_aurelia,35,1,0,0.002
P_aurelia,35,2,0,0.002
P_aurelia,35,3,0,0.002
P_aurelia,35,4,0,0.002
P_caudatum,35,1,0,0.002
P_caudatum,35,2,0,0.002
P_caudatum,35,3,0,0.002
P_caudatum,35,4,0,0.002
Colpidium,30,1,0,0.002
Colpidium,30,2,0,0.002
Colpidium,30,3,0,0.002
Colpidium,30,4,0,0.002
Spirostomum,30,1,0,0.002
Spirostomum,30,2,0,0.002
Spirostomum,30,3,0,0.002
Spirostomum,30,4,0,0.002
Blepharisma,35,1,6,0.001
Blepharisma,35,2,6,0.0015
Blepharisma,35,3,6,0.0035
Blepharisma,35,4,6,0.002
P_aurelia,35,1,6,0.002
P_aurelia,35,2,6,0.001
P_aurelia,35,3,6,0.002
P_aurelia,35,4,6,0.001
P_caudatum,35,1,6,0.003
P_caudatum,35,2,6,0.003
P_caudatum,35,3,6,0.0005
P_caudatum,35,4,6,0.001
Colpidium,30,1,6,0.0005
Colpidium,30,2,6,0.001
Colpidium,30,3,6,0.003
Colpidium,30,4,6,0.003
Spirostomum,30,1,6,0.0005
Spirostomum,30,2,6,0.003
Spirostomum,30,3,6,0.007
Spirostomum,30,4,6,0.001
Blepharisma,35,1,24,0.003
Blepharisma,35,2,24,0.001
Blepharisma,35,3,24,0.001
Blepharisma,35,4,24,0.002
P_aurelia,35,1,24,0.001
P_aurelia,35,2,24,0.001
P_aurelia,35,3,24,0.00005
P_aurelia,35,4,24,0.00005
P_caudatum,35,1,24,0.002
P_caudatum,35,2,24,0.002
P_caudatum,35,3,24,0.002
P_caudatum,35,4,24,0.003
Colpidium,30,1,24,0.001
Colpidium,30,2,24,0.001
Colpidium,30,3,24,0.003
Colpidium,30,4,24,0.001
Spirostomum,30,1,24,0.003
Spirostomum,30,2,24,0.002
Spirostomum,30,3,24,0.003
Spirostomum,30,4,24,0.003
Blepharisma,35,1,30,0.001
Blepharisma,35,2,30,0.002
Blepharisma,35,3,30,0.009
Blepharisma,35,4,30,0.004
P_aurelia,35,1,30,0.002
P_aurelia,35,2,30,0.002
P_aurelia,35,3,30,0.001
P_aurelia,35,4,30,0.004
P_caudatum,35,1,30,0.002
P_caudatum,35,2,30,0.001
P_caudatum,35,3,30,0.004
P_caudatum,35,4,30,0.002
Colpidium,30,1,30,0.001
Colpidium,30,2,30,0.002
Colpidium,30,3,30,0.002
Colpidium,30,4,30,0.003
Spirostomum,30,1,30,0.003
Spirostomum,30,2,30,0.003
Spirostomum,30,3,30,0.001
Spirostomum,30,4,30,0.002
Blepharisma,35,1,48,0.005
Blepharisma,35,2,48,0.006
Blepharisma,35,3,48,0.004
Blepharisma,35,4,48,0.006
P_aurelia,35,1,48,0.0003
P_aurelia,35,2,48,0.0004
P_aurelia,35,3,48,0.0002
P_aurelia,35,4,48,0.0002
P_caudatum,35,1,48,0.001
P_caudatum,35,2,48,0.003
P_caudatum,35,3,48,0.004
P_caudatum,35,4,48,0.0005
Colpidium,30,1,48,0.0005
Colpidium,30,2,48,0.000333333
Colpidium,30,3,48,0.0005
Colpidium,30,4,48,0.0005
Spirostomum,30,1,48,0.002
Spirostomum,30,2,48,0.001
Spirostomum,30,3,48,0.002
Spirostomum,30,4,48,0.001
Blepharisma,35,1,54,0.009
Blepharisma,35,2,54,0.002
Blepharisma,35,3,54,0.004
