Temperature,Species,Replicate,Date,Observer,Density
30,blepharisma,1,15/11/2021,Ellie,0.002
30,blepharisma,2,15/11/2021,Ellie,0.002
30,blepharisma,3,15/11/2021,Ellie,0.002
30,blepharisma,4,15/11/2021,Ellie,0.002
30,colpidium,1,15/11/2021,Francesco,0.002
30,colpidium,2,15/11/2021,Francesco,0.002
30,colpidium,3,15/11/2021,Francesco,0.002
30,colpidium,4,15/11/2021,Francesco,0.002
30,lepadella,1,15/11/2021,Francesco,0.002
30,lepadella,2,15/11/2021,Francesco,0.002
30,lepadella,3,15/11/2021,Francesco,0.002
30,lepadella,4,15/11/2021,Francesco,0.002
30,p_aurelia,1,15/11/2021,Ellie,0.002
30,p_aurelia,2,15/11/2021,Ellie,0.002
30,p_aurelia,3,15/11/2021,Ellie,0.002
30,p_aurelia,4,15/11/2021,Ellie,0.002
30,p_caudatum,1,15/11/2021,Francesco,0.002
30,p_caudatum,2,15/11/2021,Francesco,0.002
30,p_caudatum,3,15/11/2021,Francesco,0.002
30,p_caudatum,4,15/11/2021,Francesco,0.002
30,philodina,1,15/11/2021,Ellie,0.002
30,philodina,2,15/11/2021,Ellie,0.002
30,philodina,4,15/11/2021,Ellie,0.002
25,blepharisma,1,15/11/2021,Ellie,0.002
25,blepharisma,2,15/11/2021,Ellie,0.002
25,blepharisma,3,15/11/2021,Ellie,0.002
25,blepharisma,4,15/11/2021,Ellie,0.002
25,colpidium,1,15/11/2021,Ellie,0.002
25,colpidium,2,15/11/2021,Ellie,0.002
25,colpidium,3,15/11/2021,Ellie,0.002
25,colpidium,4,15/11/2021,Ellie,0.002
25,lepadella,1,15/11/2021,Francesco,0.002
25,lepadella,2,15/11/2021,Francesco,0.002
25,lepadella,3,15/11/2021,Francesco,0.002
25,lepadella,4,15/11/2021,Francesco,0.002
25,p_aurelia,1,15/11/2021,Ellie,0.002
25,p_aurelia,2,15/11/2021,Ellie,0.002
25,p_aurelia,3,15/11/2021,Ellie,0.002
25,p_aurelia,4,15/11/2021,Ellie,0.002
25,p_caudatum,1,15/11/2021,Ellie,0.002
25,p_caudatum,2,15/11/2021,Ellie,0.002
25,p_caudatum,3,15/11/2021,Ellie,0.002
25,p_caudatum,4,15/11/2021,Ellie,0.002
25,philodina,1,15/11/2021,Ellie,0.002
25,philodina,2,15/11/2021,Ellie,0.002
25,philodina,3,15/11/2021,Ellie,0.002
25,philodina,4,15/11/2021,Ellie,0.002
25,spirostomum,1,15/11/2021,Francesco,0.002
25,spirostomum,2,15/11/2021,Francesco,0.002
25,spirostomum,3,15/11/2021,Francesco,0.002
25,spirostomum,4,15/11/2021,Francesco,0.002
20,blepharisma,1,15/11/2021,Ellie,0.002
20,blepharisma,2,15/11/2021,Ellie,0.002
20,blepharisma,3,15/11/2021,Ellie,0.002
20,blepharisma,4,15/11/2021,Ellie,0.002
20,colpidium,1,15/11/2021,Francesco,0.002
20,colpidium,2,15/11/2021,Francesco,0.002
20,colpidium,3,15/11/2021,Francesco,0.002
20,colpidium,4,15/11/2021,Francesco,0.002
20,lepadella,1,15/11/2021,Francesco,0.002
20,lepadella,2,15/11/2021,Francesco,0.002
20,lepadella,3,15/11/2021,Francesco,0.002
20,lepadella,4,15/11/2021,Francesco,0.002
20,p_aurelia,1,15/11/2021,Francesco,0.002
20,p_aurelia,2,15/11/2021,Francesco,0.002
20,p_aurelia,3,15/11/2021,Francesco,0.002
20,p_aurelia,4,15/11/2021,Francesco,0.002
20,p_caudatum,1,15/11/2021,Francesco,0.002
20,p_caudatum,2,15/11/2021,Francesco,0.002
20,p_caudatum,3,15/11/2021,Francesco,0.002
20,p_caudatum,4,15/11/2021,Francesco,0.002
20,philodina,1,15/11/2021,Francesco,0.002
20,philodina,2,15/11/2021,Francesco,0.002
20,philodina,3,15/11/2021,Francesco,0.002
20,philodina,4,15/11/2021,Francesco,0.002
30,blepharisma,1,16/11/2021,Ellie,0.001
30,blepharisma,2,16/11/2021,Ellie,0.0002
30,blepharisma,3,16/11/2021,Ellie,0.006
30,blepharisma,4,16/11/2021,Ellie,0.005
30,colpidium,1,16/11/2021,Francesco,0.001
30,colpidium,2,16/11/2021,Francesco,0.0005
30,colpidium,3,16/11/2021,Francesco,0.001
30,colpidium,4,16/11/2021,Francesco,0.003
30,lepadella,1,16/11/2021,Francesco,0.002
30,lepadella,2,16/11/2021,Francesco,0.011
30,lepadella,3,16/11/2021,Francesco,0.004
30,lepadella,4,16/11/2021,Francesco,0.005
30,p_aurelia,1,16/11/2021,Ellie,0.005
30,p_aurelia,2,16/11/2021,Ellie,0.008
30,p_aurelia,3,16/11/2021,Ellie,0.002
30,p_aurelia,4,16/11/2021,Ellie,0.018
30,p_caudatum,1,16/11/2021,Francesco,0.027
30,p_caudatum,2,16/11/2021,Francesco,0.013
30,p_caudatum,3,16/11/2021,Francesco,0.014
30,p_caudatum,4,16/11/2021,Francesco,0.044
30,philodina,1,16/11/2021,Ellie,0.002
30,philodina,2,16/11/2021,Ellie,0.001
30,philodina,4,16/11/2021,Ellie,0.005
25,blepharisma,1,16/11/2021,Ellie,0.005
25,blepharisma,2,16/11/2021,Ellie,0.004
25,blepharisma,3,16/11/2021,Ellie,0.004
25,blepharisma,4,16/11/2021,Ellie,0.002
25,colpidium,1,16/11/2021,Ellie,0.017
25,colpidium,2,16/11/2021,Ellie,0.037
25,colpidium,3,16/11/2021,Ellie,0.014
25,colpidium,4,16/11/2021,Ellie,0.008
25,lepadella,1,16/11/2021,Francesco,0.0005
25,lepadella,2,16/11/2021,Francesco,0.000333333
25,lepadella,3,16/11/2021,Francesco,0.001
25,lepadella,4,16/11/2021,Francesco,0.000666667
25,p_aurelia,1,16/11/2021,Ellie,0.01
25,p_aurelia,2,16/11/2021,Ellie,0.006
25,p_aurelia,3,16/11/2021,Ellie,0.005
25,p_aurelia,4,16/11/2021,Ellie,0.009
25,p_caudatum,1,16/11/2021,Ellie,0.004
25,p_caudatum,2,16/11/2021,Ellie,0.003
25,p_caudatum,3,16/11/2021,Ellie,0.004
25,p_caudatum,4,16/11/2021,Ellie,0.001
25,philodina,1,16/11/2021,Ellie,0.002
25,philodina,2,16/11/2021,Ellie,0.0015
25,philodina,3,16/11/2021,Ellie,0.002
25,philodina,4,16/11/2021,Ellie,0.001
25,spirostomum,1,16/11/2021,Francesco,0.001
25,spirostomum,2,16/11/2021,Francesco,0.001
25,spirostomum,3,16/11/2021,Francesco,0.003
25,spirostomum,4,16/11/2021,Francesco,0.004
20,blepharisma,1,16/11/2021,Ellie,0.002333333
20,blepharisma,2,16/11/2021,Ellie,0.0005
20,blepharisma,3,16/11/2021,Ellie,0.002
20,blepharisma,4,16/11/2021,Ellie,0.0005
20,colpidium,1,16/11/2021,Francesco,0.001
20,colpidium,2,16/11/2021,Francesco,0.003
20,colpidium,3,16/11/2021,Francesco,0.001
20,colpidium,4,16/11/2021,Francesco,0.001
20,lepadella,1,16/11/2021,Francesco,0.001
20,lepadella,2,16/11/2021,Francesco,0.001
20,lepadella,3,16/11/2021,Francesco,0.002
20,lepadella,4,16/11/2021,Francesco,0.001
20,p_aurelia,1,16/11/2021,Francesco,0.003
20,p_aurelia,2,16/11/2021,Francesco,0.002
20,p_aurelia,3,16/11/2021,Francesco,0.006
20,p_aurelia,4,16/11/2021,Francesco,0.002
20,p_caudatum,1,16/11/2021,Francesco,0.004
20,p_caudatum,2,16/11/2021,Francesco,0.002
20,p_caudatum,3,16/11/2021,Francesco,0.004
20,p_caudatum,4,16/11/2021,Francesco,0.002
20,philodina,1,16/11/2021,Francesco,0.001
20,philodina,2,16/11/2021,Francesco,0.000333333
20,philodina,3,16/11/2021,Francesco,0.000285714
20,philodina,4,16/11/2021,Francesco,0.004
30,blepharisma,1,17/11/2021,Ellie,0.01
30,blepharisma,2,17/11/2021,Ellie,0.01
30,blepharisma,3,17/11/2021,Ellie,0.005
30,blepharisma,4,17/11/2021,Ellie,0.025
30,colpidium,1,17/11/2021,Ellie,0.00048
30,colpidium,2,17/11/2021,Ellie,0
30,colpidium,3,17/11/2021,Ellie,0
30,colpidium,4,17/11/2021,Ellie,0.00004
30,lepadella,1,17/11/2021,Francesco,0.012
30,lepadella,2,17/11/2021,Francesco,0.018
30,lepadella,3,17/11/2021,Francesco,0.019
30,lepadella,4,17/11/2021,Francesco,0.017
30,p_aurelia,1,17/11/2021,Francesco,0.046
30,p_aurelia,2,17/11/2021,Francesco,0.073333333
30,p_aurelia,3,17/11/2021,Francesco,0.026666667
30,p_aurelia,4,17/11/2021,Francesco,0.056666667
30,p_caudatum,1,17/11/2021,Francesco,0.095
30,p_caudatum,2,17/11/2021,Francesco,0.1
30,p_caudatum,3,17/11/2021,Francesco,0.09
30,p_caudatum,4,17/11/2021,Francesco,0.095
30,philodina,1,17/11/2021,Ellie,0.001
30,philodina,2,17/11/2021,Ellie,0.002
30,philodina,4,17/11/2021,Ellie,0.004
25,blepharisma,1,17/11/2021,Ellie,0.008
25,blepharisma,2,17/11/2021,Ellie,0.014
25,blepharisma,3,17/11/2021,Ellie,0.005
25,blepharisma,4,17/11/2021,Ellie,0.008
25,colpidium,1,17/11/2021,Ellie,0.5
25,colpidium,2,17/11/2021,Ellie,0.5
25,colpidium,3,17/11/2021,Ellie,0.18
25,colpidium,4,17/11/2021,Ellie,0.02
25,lepadella,1,17/11/2021,Francesco,0.005
25,lepadella,2,17/11/2021,Francesco,0.003
25,lepadella,3,17/11/2021,Francesco,0.002
25,lepadella,4,17/11/2021,Francesco,0.001
25,p_aurelia,1,17/11/2021,Francesco,0.03
25,p_aurelia,2,17/11/2021,Francesco,0.032
25,p_aurelia,3,17/11/2021,Francesco,0.004
25,p_aurelia,4,17/11/2021,Francesco,0.042
25,p_caudatum,1,17/11/2021,Ellie,0.012
25,p_caudatum,2,17/11/2021,Ellie,0.015
25,p_caudatum,3,17/11/2021,Ellie,0.024
25,p_caudatum,4,17/11/2021,Ellie,0.01
25,philodina,1,17/11/2021,Francesco,0.004
25,philodina,2,17/11/2021,Francesco,0.001
25,philodina,3,17/11/2021,Francesco,0.002
25,philodina,4,17/11/2021,Francesco,0.0005
25,spirostomum,1,17/11/2021,Ellie,0.005
25,spirostomum,2,17/11/2021,Ellie,0.001
25,spirostomum,3,17/11/2021,Ellie,0.001
25,spirostomum,4,17/11/2021,Ellie,0.005
20,blepharisma,1,17/11/2021,Ellie,0.003
20,blepharisma,2,17/11/2021,Ellie,0.001
20,blepharisma,3,17/11/2021,Ellie,0.002
20,blepharisma,4,17/11/2021,Ellie,0.001
20,colpidium,1,17/11/2021,Ellie,0.002
20,colpidium,2,17/11/2021,Ellie,0.031
20,colpidium,3,17/11/2021,Ellie,0.016
20,colpidium,4,17/11/2021,Ellie,0.01
20,lepadella,1,17/11/2021,Francesco,0.001
20,lepadella,2,17/11/2021,Francesco,0.0005
20,lepadella,3,17/11/2021,Francesco,0.001
20,lepadella,4,17/11/2021,Francesco,0.001
20,p_aurelia,1,17/11/2021,Francesco,0.02
20,p_aurelia,2,17/11/2021,Francesco,0.008
20,p_aurelia,3,17/11/2021,Francesco,0.016
20,p_aurelia,4,17/11/2021,Francesco,0.004
20,p_caudatum,1,17/11/2021,Ellie,0.008
20,p_caudatum,2,17/11/2021,Ellie,0.005
20,p_caudatum,3,17/11/2021,Ellie,0.016
20,p_caudatum,4,17/11/2021,Ellie,0.007
20,philodina,1,17/11/2021,Ellie,0.0005
20,philodina,2,17/11/2021,Ellie,0.0005
20,philodina,3,17/11/2021,Ellie,0.0002
20,philodina,4,17/11/2021,Ellie,0.002
30,blepharisma,1,18/11/2021,Francesco,0.018
30,blepharisma,2,18/11/2021,Francesco,0.042
30,blepharisma,3,18/11/2021,Francesco,0.024
30,blepharisma,4,18/11/2021,Francesco,0.052
30,colpidium,1,18/11/2021,Ellie,0.00004
30,colpidium,2,18/11/2021,Francesco,0
30,colpidium,3,18/11/2021,Ellie,0
30,colpidium,4,18/11/2021,Francesco,0
30,lepadella,1,18/11/2021,Francesco,0.037
30,lepadella,2,18/11/2021,Francesco,0.024
30,lepadella,3,18/11/2021,Francesco,0.032
30,lepadella,4,18/11/2021,Francesco,0.018
30,p_aurelia,1,18/11/2021,Ellie,0.06
30,p_aurelia,2,18/11/2021,Ellie,0.07
30,p_aurelia,3,18/11/2021,Ellie,0.11
30,p_aurelia,4,18/11/2021,Ellie,0.27
30,p_caudatum,1,18/11/2021,Ellie,0.02
30,p_caudatum,2,18/11/2021,Ellie,0.05
30,p_caudatum,3,18/11/2021,Ellie,0.08
